主要項目,編號,修正細項,比準地 P001-00 條件,P002-00 條件,P002-00 差異率%,P003-00 條件,P003-00 差異率%,P004-00 條件,P004-00 差異率%,狀態,依據／缺漏原因
(3)接近條件,17,接近公園、廣場之程度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(3)接近條件,18,接近車站之程度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(3)接近條件,19,接近商圈之程度,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(4)周邊環境條件,20,嫌惡設施之有無,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(4)周邊環境條件,21,停車方便性,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：嫌惡設施名稱＋距離(M)、停車方便性；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查
(5)行政條件,22,使用分區或編定,第一種住宅區,第一種住宅區,+0.00,第一種住宅區,+0.00,第一種住宅區,+0.00,確認,表3 區段層級「使用分區」；分區為法定管制，宗地與所在區段一致：第一種住宅區
(5)行政條件,23,建蔽率,50%,50%,+0.00,50%,+0.00,50%,+0.00,確認,表3 區段層級「建蔽率」；法定管制值，宗地與所在區段一致：50%
(5)行政條件,24,容積率,260%,200%,—,260%,—,260%,—,條件可確認／差異率不可查表,基準表列為敘述型（詳備註）：容積率差異以土地開發分析法進行試算調整；本項需與區域因素容積率併同考量，調整不足者另於區域因素補充調整，差異率無查表矩陣可得
(5)行政條件,25,有無禁限建,無禁止或限制建築,無禁止或限制建築,+0.00,無禁止或限制建築,+0.00,無禁止或限制建築,+0.00,確認,表3 有無禁止建築「無」、有無限制建築「無」
(6)其他,—,無尾巷,—,—,—,—,—,—,—,資料不足,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查，並於備註欄敘明調整理由（手冊 六(二)6）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得
合計,—,個別因素差異率合計,—,—,—,—,—,—,—,不得加總,個別因素合計需 7~25 全數可判定，本案尚缺宗地層級資料，不得加總
